epoch,coverage,validity,proximity_continuous_manhattan,proximity_continuous_euclidean,prob_plausibility,log_density_cf,lof_scores_cf,isolation_forest_scores_cf,proximity_categorical_hamming,proximity_categorical_jaccard,time,dataset,dist-lambda,proj-lambda,flow-lambda,train-auroc,train-acc,test-auroc,test-acc
255,1.0000,0.0000,,,0.0000,-50.7389,1.0338,0.0079,,,0.0025,HEART,0.0500,0.9000,0.0500,180.7770,177.0000,0.7792,0.7049
522,1.0000,0.0227,0.9699,0.3810,0.6713,-16.5604,1.0345,0.0127,,0.0000,0.0048,HEART,0.0500,0.9000,0.0500,180.9777,180.0000,0.7803,0.7377
573,1.0000,0.6033,3.4287,1.1649,0.6313,-15.7959,1.0397,0.0066,,0.0000,0.0025,HEART,0.0500,0.9000,0.0500,179.8183,173.0000,0.8690,0.7705
709,1.0000,0.9839,5.0772,1.7606,0.6699,-16.2451,1.0542,0.0059,,0.0000,0.0022,HEART,0.0500,0.9000,0.0500,180.9554,179.0000,0.8550,0.8033
825,1.0000,0.9839,5.1407,1.7873,0.6704,-16.1177,1.0477,0.0063,,0.0000,0.0025,HEART,0.0500,0.9000,0.0500,180.9331,179.0000,0.8409,0.8033
916,1.0000,1.0000,4.9365,1.7319,0.6762,-15.8619,1.0487,0.0071,,0.0000,0.0014,HEART,0.0500,0.9000,0.0500,180.7770,178.0000,0.8171,0.7377
51,1.0000,0.0000,,,0.0000,-50.7349,1.0626,-0.0031,,,0.0050,HEART,0.0500,0.9000,0.0500,170.3870,154.0000,0.8355,0.7541
102,1.0000,0.0000,,,0.0000,-50.7261,1.0602,-0.0049,,,0.0003,HEART,0.0500,0.9000,0.0500,176.2286,168.0000,0.8279,0.7377
153,1.0000,0.0000,,,0.0000,-50.7162,1.0540,0.0007,,,0.0023,HEART,0.0500,0.9000,0.0500,179.8406,174.0000,0.8171,0.7541
204,1.0000,0.0000,,,0.0000,-50.7326,1.0564,0.0068,,,0.0078,HEART,0.0500,0.9000,0.0500,179.3278,171.0000,0.7933,0.7869
255,1.0000,0.0000,,,0.0000,-50.7389,1.0338,0.0079,,,0.0078,HEART,0.0500,0.9000,0.0500,180.7770,177.0000,0.7792,0.7049
522,1.0000,0.0227,0.9699,0.3810,0.6713,-16.5604,1.0345,0.0127,,0.0000,0.0012,HEART,0.0500,0.9000,0.0500,180.9777,180.0000,0.7803,0.7377
573,1.0000,0.6033,3.4287,1.1649,0.6313,-15.7959,1.0397,0.0066,,0.0000,0.0006,HEART,0.0500,0.9000,0.0500,179.8183,173.0000,0.8690,0.7705
709,1.0000,0.9839,5.0772,1.7606,0.6699,-16.2451,1.0542,0.0059,,0.0000,0.0033,HEART,0.0500,0.9000,0.0500,180.9554,179.0000,0.8550,0.8033
825,1.0000,0.9839,5.1407,1.7873,0.6704,-16.1177,1.0477,0.0063,,0.0000,0.0000,HEART,0.0500,0.9000,0.0500,180.9331,179.0000,0.8409,0.8033
916,1.0000,1.0000,4.9365,1.7319,0.6762,-15.8619,1.0487,0.0071,,0.0000,0.0000,HEART,0.0500,0.9000,0.0500,180.7770,178.0000,0.8171,0.7377
51,1.0000,0.0000,,,0.0000,-7.7325,10.2851,-0.1576,,,0.0000,MOONS,0.1000,0.8000,0.1000,653.5878,647.0000,1.0000,0.9878
102,1.0000,0.0247,0.5523,0.3911,0.0000,-7.7334,11.3387,-0.1714,,0.0000,0.0078,MOONS,0.1000,0.8000,0.1000,653.9559,652.0000,0.9997,0.9939
153,1.0000,0.4670,0.1146,0.0876,0.0000,-7.7295,1.1942,0.0124,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,654.0000,653.0000,0.9979,0.9756
204,1.0000,0.2744,0.1320,0.1006,0.0000,-7.7313,1.2081,0.0094,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,654.0000,653.0000,1.0000,1.0000
255,1.0000,0.4231,0.1529,0.1200,0.0000,-7.7324,1.1670,0.0098,,0.0000,0.0078,MOONS,0.1000,0.8000,0.1000,654.0000,653.0000,0.9996,0.9939
306,1.0000,0.5793,0.1566,0.1205,0.0000,-7.7313,1.1371,0.0111,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,654.0000,653.0000,0.9985,0.9878
357,1.0000,0.4040,0.1789,0.1357,0.0000,-7.7310,1.1310,0.0084,,0.0000,0.0013,MOONS,0.1000,0.8000,0.1000,653.8288,649.0000,1.0000,0.9939
408,1.0000,0.4716,0.1991,0.1501,0.0000,-7.7315,1.1535,0.0079,,0.0000,0.0078,MOONS,0.1000,0.8000,0.1000,653.9437,648.0000,1.0000,0.9939
459,1.0000,0.3746,0.1707,0.1295,0.0000,-7.7325,1.1981,0.0072,,0.0000,0.0031,MOONS,0.1000,0.8000,0.1000,654.0000,653.0000,1.0000,0.9939
501,1.0000,0.0060,0.0045,0.0037,0.7687,0.6312,1.0088,0.0048,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,653.9531,650.0000,1.0000,0.9939
618,1.0000,1.0000,0.4318,0.3455,0.8427,0.2481,1.1565,0.0062,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,653.9375,650.0000,0.9993,0.9817
